  ROL        NOMBRE             DNI        CONTRASEÑA
  ---------  -----------------  ---------  -----------
  Admin      Matias Caballero   43025150   matias123
  Profesor   Juan Perez         30111222   profesor123
  Cobranza   Laura Diaz         35111222   cobranza123
  Alumno     Ana Gomez          40111222   alumno123
  Alumno     Carlos Lopez       40222333   alumno123
  Alumno     Lucia Fernandez    40333444   alumno123
  Alumno     Martin Sosa        40444555   alumno123
  Alumno     Sofia Ruiz         40555666   alumno123


